AirportCode;AirportName;CountryCode;CountryName;LocalizedCountryName;CityCode;CityName;LocalizedCityName;StateCode;StateName;Rating;IfActive
LTP;Lyndhurst;AU;Australia;Avustralya;LTP;Lyndhurst;NULL;QL;Queensland;0;1
LTQ;Le Touquet Paris Plage;FR;France;Fransa;LTQ;Le Touquet Paris Plage;NULL;NULL;NULL;0;1
LTR;Letterkenny;IE;Ireland-Republic Of;Ýrlanda;LTR;Letterkenny;NULL;NULL;NULL;0;1
LTS;Altus Afb;US;United States Of America;Amerika;LTS;Altus;NULL;OK;Oklahoma;0;1
LTT;La Mole;FR;France;Fransa;LTT;Saint Tropez;NULL;NULL;NULL;0;1
LTU;Latur;IN;India;Hindistan;LTU;Latur;Latur;NULL;NULL;0;1
LTV;Lotusvale;AU;Australia;Avustralya;LTV;Lotusvale;NULL;QL;Queensland;0;1
LTW;Saint Marys Cnt;US;United States Of America;Amerika;LTW;Leonardtown;NULL;MD;Maryland;0;1
LTX;Cotapaxi Intl;EC;Ecuador;Ekvator;LTX;Latacunga;NULL;NULL;NULL;0;1
LUA;Lukla;NP;Nepal;Nepal;LUA;Lukla;NULL;NULL;NULL;0;1
LUB;Lumid Pau;GY;Guyana;Guyana;LUB;Lumid Pau;NULL;NULL;NULL;0;1
LUC;Laucala Is;FJ;Fiji;Fiji;LUC;Laucala Is;NULL;NULL;NULL;0;1
LUD;Luderitz;NA;Namibia;Namibya;LUD;Luderitz;NULL;NULL;NULL;0;1
LUE;Lucenec;SK;Slovakia;Slovakya;LUE;Lucenec;NULL;NULL;NULL;0;1
LUF;Luke Afb;US;United States Of America;Amerika;PHX;Phoenix;NULL;AZ;Arizona;21;1
LUG;Agno;CH;Switzerland;Ýsviçre;LUG;Lugano;NULL;NULL;NULL;0;1
LUH;Ludhiana;IN;India;Hindistan;LUH;Ludhiana;Ludhiana;NULL;NULL;0;1
LUI;La Union;HN;Honduras;Honduras;LUI;La Union;NULL;NULL;NULL;0;1
LUJ;Lusikisiki;ZA;South Africa;Güney Afrika;LUJ;Lusikisiki;NULL;NULL;NULL;0;1
LUK;Cincinnati Mnpl;US;United States Of America;Amerika;CVG;Cincinnati;NULL;OH;Ohio;8;1
LUL;Hesler Noble Fld;US;United States Of America;Amerika;LUL;Laurel;NULL;MS;Mississipi;0;1
LUM;Mangshi;CN;China -Excl Hong Kong Sar-;Çin;LUM;Luxi;NULL;NULL;NULL;0;1
LUN;Lusaka;ZM;Zambia;Zambiya;LUN;Lusaka;NULL;NULL;NULL;10;1
LUO;Luena;AO;Angola;Angola;LUO;Luena;NULL;NULL;NULL;0;1
LUP;Kalaupapa;US;United States Of America;Amerika;LUP;Kalaupapa;NULL;HI;Hawaii;0;1
LUQ;San Luis;AR;Argentina;Arjantin;LUQ;San Luis;NULL;SL;San Luis;0;1
LUR;Cape Lisburne;US;United States Of America;Amerika;LUR;Cape Lisburne;NULL;AK;Alaska;0;1
LUS;Lusanga;CD;Congo The Democratic Rep Of;Kongo Demokratik Cumhuriyeti;LUS;Lusanga;NULL;NULL;NULL;0;1
LUT;Laura Station;AU;Australia;Avustralya;LUT;Laura Station;NULL;QL;Queensland;0;1
LUU;Laura;AU;Australia;Avustralya;LUU;Laura;NULL;QL;Queensland;0;1
LUV;Langgur;ID;Indonesia;Endonezya;LUV;Langgur;NULL;NULL;NULL;0;1
LUW;Luwuk;ID;Indonesia;Endonezya;LUW;Luwuk;NULL;NULL;NULL;0;1
LUX;Luxembourg;LU;Luxembourg;Lüksemburg;LUX;Luxembourg;Lüksemburg;NULL;NULL;3;1
LUY;Lushoto;TZ;Tanzania-United Republic;Tanzanya;LUY;Lushoto;NULL;NULL;NULL;0;1
LUZ;Lushan;CN;China -Excl Hong Kong Sar-;Çin;LUZ;Lushan;NULL;NULL;NULL;0;1
LVA;Entrammes;FR;France;Fransa;LVA;Laval;NULL;NULL;NULL;0;1
LVB;Dos Galpoes;BR;Brazil;Brezilya;LVB;Livramento;NULL;RS;Rio Grande Do Sul;0;1
LVD;Lime Village;US;United States Of America;Amerika;LVD;Lime Village;NULL;AK;Alaska;0;1
LVI;Livingstone;ZM;Zambia;Zambiya;LVI;Livingstone;NULL;NULL;NULL;0;1
LVK;Livermore;US;United States Of America;Amerika;LVK;Livermore;NULL;CA;California;0;1
LVL;Lawrenceville;US;United States Of America;Amerika;LVL;Lawrenceville;NULL;VA;Virginia;0;1
LVM;Mission Fld;US;United States Of America;Amerika;LVM;Livingston;NULL;MT;Montana;0;1
LVO;Laverton;AU;Australia;Avustralya;LVO;Laverton;NULL;WA;Western Australia;0;1
LVP;Lavan Island;IR;Iran;Ýran;LVP;Lavan Island;NULL;NULL;NULL;0;1
LVR;Mun. Do Bom Futuro;BR;Brazil;Brezilya;LVR;Lucas Do Rio Verde;NULL;MT;Mato Grosso;0;1
LVS;Las Vegas;US;United States Of America;Amerika;LVS;Las Vegas;NULL;NM;New Mexico;0;1
LWA;Lwbak;PH;Philippines;Filipinler;LWA;Lwbak;NULL;NULL;NULL;0;1
LWB;Greenbrier Valley;US;United States Of America;Amerika;LWB;Lewisburg;NULL;WV;West Virginia;0;1
LWC;Lawrence;US;United States Of America;Amerika;LWC;Lawrence;NULL;KS;Kansas;0;1
LWE;Lewoleba;ID;Indonesia;Endonezya;LWE;Lewoleba;NULL;NULL;NULL;0;1
LWH;Lawn Hill;AU;Australia;Avustralya;LWH;Lawn Hill;NULL;QL;Queensland;0;1
LWI;Lowai;PG;Papua New Guinea;Papua Yeni Gine;LWI;Lowai;NULL;NULL;NULL;0;1
LWK;Lerwick;GB;United Kingdom;Ýngiltere;SDZ;Shetland Islands;NULL;NULL;NULL;0;1
LWL;Harriet Field;US;United States Of America;Amerika;LWL;Wells;NULL;NV;Nevada;0;1
LWM;Lawrence;US;United States Of America;Amerika;LWM;Lawrence;NULL;MA;Massachusetts;0;1
LWN;Shirak;AM;Armenia;Ermenistan;LWN;Gyumri;NULL;NULL;NULL;0;1
LWO;International;UA;Ukraine;Ukrayna;LWO;Lviv;NULL;NULL;NULL;55;1
LWR;Air Base;NL;Netherlands;Hollanda;LWR;Leeuwarden;NULL;NULL;NULL;0;1
LWS;Nez Perce Cnt;US;United States Of America;Amerika;LWS;Lewiston;NULL;ID;Idaho;0;1
LWT;Lewistown Mnpl;US;United States Of America;Amerika;LWT;Lewistown;NULL;MT;Montana;0;1
LWV;Lawrenceville Mnpl;US;United States Of America;Amerika;LWV;Lawrenceville;NULL;IL;Illinois;0;1
LWY;Lawas;MY;Malaysia;Malezya;LWY;Lawas;NULL;NULL;NULL;0;1
LXA;Lhasa;CN;China -Excl Hong Kong Sar-;Çin;LXA;Lhasa;NULL;NULL;NULL;0;1
LXG;Luang Namtha;LA;Lao People's Dem Republic;Lao People's Dem Republic;LXG;Luang Namtha;NULL;NULL;NULL;0;1
LXI;Linxi;CN;China -Excl Hong Kong Sar-;Çin;LXI;Linxi;NULL;NULL;NULL;0;1
LXN;Lexington;US;United States Of America;Amerika;LXN;Lexington;NULL;NE;Nebraska;0;1
LXR;International;EG;Egypt;Mýsýr;LXR;Luxor;NULL;NULL;NULL;10;1
LXS;Limnos;GR;Greece;Yunanistan;LXS;Limnos;NULL;NULL;NULL;0;1
LXU;Lukulu;ZM;Zambia;Zambiya;LXU;Lukulu;NULL;NULL;NULL;0;1
LXV;Leadville;US;United States Of America;Amerika;LXV;Leadville;NULL;CO;Colorado;0;1
LYA;Luoyang;CN;China -Excl Hong Kong Sar-;Çin;LYA;Luoyang;NULL;NULL;NULL;0;1
LYB;Little Cayman;KY;Cayman Islands;Cayman Adalarý;LYB;Little Cayman;NULL;NULL;NULL;0;1
